nama_provinsi,tahun,nilai,indikator
ACEH,2010,12.9,Harapan Lama Sekolah
ACEH,2010,8.28,Rata-rata Lama Sekolah
ACEH,2011,13.03,Harapan Lama Sekolah
ACEH,2011,8.32,Rata-rata Lama Sekolah
ACEH,2012,13.19,Harapan Lama Sekolah
ACEH,2012,8.36,Rata-rata Lama Sekolah
ACEH,2013,13.36,Harapan Lama Sekolah
ACEH,2013,8.44,Rata-rata Lama Sekolah
ACEH,2014,13.53,Harapan Lama Sekolah
ACEH,2014,8.71,Rata-rata Lama Sekolah
ACEH,2015,13.73,Harapan Lama Sekolah
ACEH,2015,8.77,Rata-rata Lama Sekolah
ACEH,2016,13.89,Harapan Lama Sekolah
ACEH,2016,8.86,Rata-rata Lama Sekolah
ACEH,2017,14.13,Harapan Lama Sekolah
ACEH,2017,8.98,Rata-rata Lama Sekolah
ACEH,2018,14.27,Harapan Lama Sekolah
ACEH,2018,9.09,Rata-rata Lama Sekolah
ACEH,2019,14.3,Harapan Lama Sekolah
ACEH,2019,9.18,Rata-rata Lama Sekolah
ACEH,2020,14.31,Harapan Lama Sekolah
ACEH,2020,9.33,Rata-rata Lama Sekolah
ACEH,2021,14.36,Harapan Lama Sekolah
ACEH,2021,9.37,Rata-rata Lama Sekolah
ACEH,2022,14.37,Harapan Lama Sekolah
ACEH,2022,9.44,Rata-rata Lama Sekolah
ACEH,2023,14.38,Harapan Lama Sekolah
ACEH,2023,9.55,Rata-rata Lama Sekolah
ACEH,2024,14.39,Harapan Lama Sekolah
ACEH,2024,9.64,Rata-rata Lama Sekolah
BALI,2010,11.71,Harapan Lama Sekolah
BALI,2010,7.74,Rata-rata Lama Sekolah
BALI,2011,12.12,Harapan Lama Sekolah
BALI,2011,7.77,Rata-rata Lama Sekolah
BALI,2012,12.26,Harapan Lama Sekolah
BALI,2012,8.05,Rata-rata Lama Sekolah
BALI,2013,12.4,Harapan Lama Sekolah
BALI,2013,8.1,Rata-rata Lama Sekolah
BALI,2014,12.64,Harapan Lama Sekolah
BALI,2014,8.11,Rata-rata Lama Sekolah
BALI,2015,12.97,Harapan Lama Sekolah
BALI,2015,8.26,Rata-rata Lama Sekolah
BALI,2016,13.04,Harapan Lama Sekolah
BALI,2016,8.36,Rata-rata Lama Sekolah
BALI,2017,13.21,Harapan Lama Sekolah
BALI,2017,8.55,Rata-rata Lama Sekolah
BALI,2018,13.23,Harapan Lama Sekolah
BALI,2018,8.65,Rata-rata Lama Sekolah
BALI,2019,13.27,Harapan Lama Sekolah
BALI,2019,8.84,Rata-rata Lama Sekolah
BALI,2020,13.33,Harapan Lama Sekolah
BALI,2020,8.95,Rata-rata Lama Sekolah
BALI,2021,13.4,Harapan Lama Sekolah
BALI,2021,9.06,Rata-rata Lama Sekolah
BALI,2022,13.48,Harapan Lama Sekolah
BALI,2022,9.39,Rata-rata Lama Sekolah
BALI,2023,13.58,Harapan Lama Sekolah
BALI,2023,9.45,Rata-rata Lama Sekolah
BALI,2024,13.62,Harapan Lama Sekolah
BALI,2024,9.54,Rata-rata Lama Sekolah
BANTEN,2010,11.02,Harapan Lama Sekolah
BANTEN,2010,7.92,Rata-rata Lama Sekolah
BANTEN,2011,11.41,Harapan Lama Sekolah
BANTEN,2011,7.95,Rata-rata Lama Sekolah
BANTEN,2012,11.79,Harapan Lama Sekolah
BANTEN,2012,8.06,Rata-rata Lama Sekolah
BANTEN,2013,12.05,Harapan Lama Sekolah
BANTEN,2013,8.17,Rata-rata Lama Sekolah
BANTEN,2014,12.31,Harapan Lama Sekolah
BANTEN,2014,8.19,Rata-rata Lama Sekolah
BANTEN,2015,12.35,Harapan Lama Sekolah
BANTEN,2015,8.27,Rata-rata Lama Sekolah
BANTEN,2016,12.7,Harapan Lama Sekolah
BANTEN,2016,8.37,Rata-rata Lama Sekolah
BANTEN,2017,12.78,Harapan Lama Sekolah
BANTEN,2017,8.53,Rata-rata Lama Sekolah
BANTEN,2018,12.85,Harapan Lama Sekolah
BANTEN,2018,8.62,Rata-rata Lama Sekolah
BANTEN,2019,12.88,Harapan Lama Sekolah
BANTEN,2019,8.74,Rata-rata Lama Sekolah
BANTEN,2020,12.89,Harapan Lama Sekolah
BANTEN,2020,8.89,Rata-rata Lama Sekolah
BANTEN,2021,13.02,Harapan Lama Sekolah
BANTEN,2021,8.93,Rata-rata Lama Sekolah
BANTEN,2022,13.05,Harapan Lama Sekolah
BANTEN,2022,9.13,Rata-rata Lama Sekolah
BANTEN,2023,13.09,Harapan Lama Sekolah
BANTEN,2023,9.15,Rata-rata Lama Sekolah
BANTEN,2024,13.1,Harapan Lama Sekolah
BANTEN,2024,9.23,Rata-rata Lama Sekolah
BENGKULU,2010,11.59,Harapan Lama Sekolah
BENGKULU,2010,7.85,Rata-rata Lama Sekolah
BENGKULU,2011,11.88,Harapan Lama Sekolah
BENGKULU,2011,7.93,Rata-rata Lama Sekolah
BENGKULU,2012,12.2,Harapan Lama Sekolah
BENGKULU,2012,8.01,Rata-rata Lama Sekolah
BENGKULU,2013,12.78,Harapan Lama Sekolah
BENGKULU,2013,8.09,Rata-rata Lama Sekolah
BENGKULU,2014,13.01,Harapan Lama Sekolah
BENGKULU,2014,8.28,Rata-rata Lama Sekolah
BENGKULU,2015,13.18,Harapan Lama Sekolah
BENGKULU,2015,8.29,Rata-rata Lama Sekolah
BENGKULU,2016,13.38,Harapan Lama Sekolah
BENGKULU,2016,8.37,Rata-rata Lama Sekolah
BENGKULU,2017,13.57,Harapan Lama Sekolah
BENGKULU,2017,8.47,Rata-rata Lama Sekolah
BENGKULU,2018,13.58,Harapan Lama Sekolah
BENGKULU,2018,8.61,Rata-rata Lama Sekolah
BENGKULU,2019,13.59,Harapan Lama Sekolah
BENGKULU,2019,8.73,Rata-rata Lama Sekolah
BENGKULU,2020,13.61,Harapan Lama Sekolah
BENGKULU,2020,8.84,Rata-rata Lama Sekolah
BENGKULU,2021,13.67,Harapan Lama Sekolah
BENGKULU,2021,8.87,Rata-rata Lama Sekolah
BENGKULU,2022,13.68,Harapan Lama Sekolah
BENGKULU,2022,8.91,Rata-rata Lama Sekolah
BENGKULU,2023,13.74,Harapan Lama Sekolah
BENGKULU,2023,9.03,Rata-rata Lama Sekolah
BENGKULU,2024,13.75,Harapan Lama Sekolah
BENGKULU,2024,9.04,Rata-rata Lama Sekolah
DI YOGYAKARTA,2010,14.15,Harapan Lama Sekolah
DI YOGYAKARTA,2010,8.51,Rata-rata Lama Sekolah
DI YOGYAKARTA,2011,14.61,Harapan Lama Sekolah
DI YOGYAKARTA,2011,8.53,Rata-rata Lama Sekolah
DI YOGYAKARTA,2012,14.64,Harapan Lama Sekolah
DI YOGYAKARTA,2012,8.63,Rata-rata Lama Sekolah
DI YOGYAKARTA,2013,14.67,Harapan Lama Sekolah
DI YOGYAKARTA,2013,8.72,Rata-rata Lama Sekolah
DI YOGYAKARTA,2014,14.85,Harapan Lama Sekolah
DI YOGYAKARTA,2014,8.84,Rata-rata Lama Sekolah
DI YOGYAKARTA,2015,15.03,Harapan Lama Sekolah
DI YOGYAKARTA,2015,9.0,Rata-rata Lama Sekolah
DI YOGYAKARTA,2016,15.23,Harapan Lama Sekolah
DI YOGYAKARTA,2016,9.12,Rata-rata Lama Sekolah
DI YOGYAKARTA,2017,15.42,Harapan Lama Sekolah
DI YOGYAKARTA,2017,9.19,Rata-rata Lama Sekolah
DI YOGYAKARTA,2018,15.56,Harapan Lama Sekolah
DI YOGYAKARTA,2018,9.32,Rata-rata Lama Sekolah
DI YOGYAKARTA,2019,15.58,Harapan Lama Sekolah
DI YOGYAKARTA,2019,9.38,Rata-rata Lama Sekolah
DI YOGYAKARTA,2020,15.59,Harapan Lama Sekolah
DI YOGYAKARTA,2020,9.55,Rata-rata Lama Sekolah
DI YOGYAKARTA,2021,15.64,Harapan Lama Sekolah
DI YOGYAKARTA,2021,9.64,Rata-rata Lama Sekolah
DI YOGYAKARTA,2022,15.65,Harapan Lama Sekolah
DI YOGYAKARTA,2022,9.75,Rata-rata Lama Sekolah
DI YOGYAKARTA,2023,15.66,Harapan Lama Sekolah
DI YOGYAKARTA,2023,9.83,Rata-rata Lama Sekolah
DI YOGYAKARTA,2024,15.7,Harapan Lama Sekolah
DI YOGYAKARTA,2024,9.92,Rata-rata Lama Sekolah
DKI JAKARTA,2010,11.86,Harapan Lama Sekolah
DKI JAKARTA,2010,10.37,Rata-rata Lama Sekolah
DKI JAKARTA,2011,11.91,Harapan Lama Sekolah
DKI JAKARTA,2011,10.4,Rata-rata Lama Sekolah
DKI JAKARTA,2012,11.96,Harapan Lama Sekolah
DKI JAKARTA,2012,10.43,Rata-rata Lama Sekolah
DKI JAKARTA,2013,12.24,Harapan Lama Sekolah
DKI JAKARTA,2013,10.47,Rata-rata Lama Sekolah
DKI JAKARTA,2014,12.38,Harapan Lama Sekolah
DKI JAKARTA,2014,10.54,Rata-rata Lama Sekolah
DKI JAKARTA,2015,12.59,Harapan Lama Sekolah
DKI JAKARTA,2015,10.7,Rata-rata Lama Sekolah
DKI JAKARTA,2016,12.73,Harapan Lama Sekolah
DKI JAKARTA,2016,10.88,Rata-rata Lama Sekolah
DKI JAKARTA,2017,12.86,Harapan Lama Sekolah
DKI JAKARTA,2017,11.02,Rata-rata Lama Sekolah
DKI JAKARTA,2018,12.95,Harapan Lama Sekolah
DKI JAKARTA,2018,11.05,Rata-rata Lama Sekolah
DKI JAKARTA,2019,12.97,Harapan Lama Sekolah
DKI JAKARTA,2019,11.06,Rata-rata Lama Sekolah
DKI JAKARTA,2020,12.98,Harapan Lama Sekolah
DKI JAKARTA,2020,11.13,Rata-rata Lama Sekolah
DKI JAKARTA,2021,13.07,Harapan Lama Sekolah
DKI JAKARTA,2021,11.17,Rata-rata Lama Sekolah
DKI JAKARTA,2022,13.08,Harapan Lama Sekolah
DKI JAKARTA,2022,11.31,Rata-rata Lama Sekolah
DKI JAKARTA,2023,13.33,Harapan Lama Sekolah
DKI JAKARTA,2023,11.45,Rata-rata Lama Sekolah
DKI JAKARTA,2024,13.51,Harapan Lama Sekolah
DKI JAKARTA,2024,11.49,Rata-rata Lama Sekolah
GORONTALO,2010,11.12,Harapan Lama Sekolah
GORONTALO,2010,6.85,Rata-rata Lama Sekolah
GORONTALO,2011,11.68,Harapan Lama Sekolah
GORONTALO,2011,6.89,Rata-rata Lama Sekolah
GORONTALO,2012,11.78,Harapan Lama Sekolah
GORONTALO,2012,6.92,Rata-rata Lama Sekolah
GORONTALO,2013,12.13,Harapan Lama Sekolah
GORONTALO,2013,6.96,Rata-rata Lama Sekolah
GORONTALO,2014,12.49,Harapan Lama Sekolah
GORONTALO,2014,6.97,Rata-rata Lama Sekolah
GORONTALO,2015,12.7,Harapan Lama Sekolah
GORONTALO,2015,7.05,Rata-rata Lama Sekolah
GORONTALO,2016,12.88,Harapan Lama Sekolah
GORONTALO,2016,7.12,Rata-rata Lama Sekolah
GORONTALO,2017,13.01,Harapan Lama Sekolah
GORONTALO,2017,7.28,Rata-rata Lama Sekolah
GORONTALO,2018,13.03,Harapan Lama Sekolah
GORONTALO,2018,7.46,Rata-rata Lama Sekolah
GORONTALO,2019,13.06,Harapan Lama Sekolah
GORONTALO,2019,7.69,Rata-rata Lama Sekolah
GORONTALO,2020,13.08,Harapan Lama Sekolah
GORONTALO,2020,7.82,Rata-rata Lama Sekolah
GORONTALO,2021,13.11,Harapan Lama Sekolah
GORONTALO,2021,7.9,Rata-rata Lama Sekolah
GORONTALO,2022,13.12,Harapan Lama Sekolah
GORONTALO,2022,8.02,Rata-rata Lama Sekolah
GORONTALO,2023,13.16,Harapan Lama Sekolah
GORONTALO,2023,8.1,Rata-rata Lama Sekolah
GORONTALO,2024,13.17,Harapan Lama Sekolah
GORONTALO,2024,8.29,Rata-rata Lama Sekolah
JAMBI,2010,11.34,Harapan Lama Sekolah
JAMBI,2010,7.34,Rata-rata Lama Sekolah
JAMBI,2011,11.6,Harapan Lama Sekolah
JAMBI,2011,7.48,Rata-rata Lama Sekolah
JAMBI,2012,11.73,Harapan Lama Sekolah
JAMBI,2012,7.69,Rata-rata Lama Sekolah
JAMBI,2013,12.17,Harapan Lama Sekolah
JAMBI,2013,7.8,Rata-rata Lama Sekolah
JAMBI,2014,12.38,Harapan Lama Sekolah
JAMBI,2014,7.92,Rata-rata Lama Sekolah
JAMBI,2015,12.57,Harapan Lama Sekolah
JAMBI,2015,7.96,Rata-rata Lama Sekolah
JAMBI,2016,12.72,Harapan Lama Sekolah
JAMBI,2016,8.07,Rata-rata Lama Sekolah
JAMBI,2017,12.87,Harapan Lama Sekolah
JAMBI,2017,8.15,Rata-rata Lama Sekolah
JAMBI,2018,12.9,Harapan Lama Sekolah
JAMBI,2018,8.23,Rata-rata Lama Sekolah
JAMBI,2019,12.93,Harapan Lama Sekolah
JAMBI,2019,8.45,Rata-rata Lama Sekolah
JAMBI,2020,12.98,Harapan Lama Sekolah
JAMBI,2020,8.55,Rata-rata Lama Sekolah
JAMBI,2021,13.04,Harapan Lama Sekolah
JAMBI,2021,8.6,Rata-rata Lama Sekolah
JAMBI,2022,13.05,Harapan Lama Sekolah
JAMBI,2022,8.68,Rata-rata Lama Sekolah
JAMBI,2023,13.13,Harapan Lama Sekolah
JAMBI,2023,8.81,Rata-rata Lama Sekolah
JAMBI,2024,13.14,Harapan Lama Sekolah
JAMBI,2024,8.9,Rata-rata Lama Sekolah
JAWA BARAT,2010,10.69,Harapan Lama Sekolah
JAWA BARAT,2010,7.4,Rata-rata Lama Sekolah
JAWA BARAT,2011,10.91,Harapan Lama Sekolah
JAWA BARAT,2011,7.46,Rata-rata Lama Sekolah
JAWA BARAT,2012,11.24,Harapan Lama Sekolah
JAWA BARAT,2012,7.52,Rata-rata Lama Sekolah
JAWA BARAT,2013,11.81,Harapan Lama Sekolah
JAWA BARAT,2013,7.58,Rata-rata Lama Sekolah
JAWA BARAT,2014,12.08,Harapan Lama Sekolah
JAWA BARAT,2014,7.71,Rata-rata Lama Sekolah
JAWA BARAT,2015,12.15,Harapan Lama Sekolah
JAWA BARAT,2015,7.86,Rata-rata Lama Sekolah
JAWA BARAT,2016,12.3,Harapan Lama Sekolah
JAWA BARAT,2016,7.95,Rata-rata Lama Sekolah
JAWA BARAT,2017,12.42,Harapan Lama Sekolah
JAWA BARAT,2017,8.14,Rata-rata Lama Sekolah
JAWA BARAT,2018,12.45,Harapan Lama Sekolah
JAWA BARAT,2018,8.15,Rata-rata Lama Sekolah
JAWA BARAT,2019,12.48,Harapan Lama Sekolah
JAWA BARAT,2019,8.37,Rata-rata Lama Sekolah
JAWA BARAT,2020,12.5,Harapan Lama Sekolah
JAWA BARAT,2020,8.55,Rata-rata Lama Sekolah
JAWA BARAT,2021,12.61,Harapan Lama Sekolah
JAWA BARAT,2021,8.61,Rata-rata Lama Sekolah
JAWA BARAT,2022,12.62,Harapan Lama Sekolah
JAWA BARAT,2022,8.78,Rata-rata Lama Sekolah
JAWA BARAT,2023,12.68,Harapan Lama Sekolah
JAWA BARAT,2023,8.83,Rata-rata Lama Sekolah
JAWA BARAT,2024,12.8,Harapan Lama Sekolah
JAWA BARAT,2024,8.87,Rata-rata Lama Sekolah
JAWA TENGAH,2010,11.09,Harapan Lama Sekolah
JAWA TENGAH,2010,6.71,Rata-rata Lama Sekolah
JAWA TENGAH,2011,11.18,Harapan Lama Sekolah
JAWA TENGAH,2011,6.74,Rata-rata Lama Sekolah
JAWA TENGAH,2012,11.39,Harapan Lama Sekolah
JAWA TENGAH,2012,6.77,Rata-rata Lama Sekolah
JAWA TENGAH,2013,11.89,Harapan Lama Sekolah
JAWA TENGAH,2013,6.8,Rata-rata Lama Sekolah
JAWA TENGAH,2014,12.17,Harapan Lama Sekolah
JAWA TENGAH,2014,6.93,Rata-rata Lama Sekolah
JAWA TENGAH,2015,12.38,Harapan Lama Sekolah
JAWA TENGAH,2015,7.03,Rata-rata Lama Sekolah
JAWA TENGAH,2016,12.45,Harapan Lama Sekolah
JAWA TENGAH,2016,7.15,Rata-rata Lama Sekolah
JAWA TENGAH,2017,12.57,Harapan Lama Sekolah
JAWA TENGAH,2017,7.27,Rata-rata Lama Sekolah
JAWA TENGAH,2018,12.63,Harapan Lama Sekolah
JAWA TENGAH,2018,7.35,Rata-rata Lama Sekolah
JAWA TENGAH,2019,12.68,Harapan Lama Sekolah
JAWA TENGAH,2019,7.53,Rata-rata Lama Sekolah
JAWA TENGAH,2020,12.7,Harapan Lama Sekolah
JAWA TENGAH,2020,7.69,Rata-rata Lama Sekolah
JAWA TENGAH,2021,12.77,Harapan Lama Sekolah
JAWA TENGAH,2021,7.75,Rata-rata Lama Sekolah
JAWA TENGAH,2022,12.81,Harapan Lama Sekolah
JAWA TENGAH,2022,7.93,Rata-rata Lama Sekolah
JAWA TENGAH,2023,12.85,Harapan Lama Sekolah
JAWA TENGAH,2023,8.01,Rata-rata Lama Sekolah
JAWA TENGAH,2024,12.86,Harapan Lama Sekolah
JAWA TENGAH,2024,8.02,Rata-rata Lama Sekolah
JAWA TIMUR,2010,11.49,Harapan Lama Sekolah
JAWA TIMUR,2010,6.73,Rata-rata Lama Sekolah
JAWA TIMUR,2011,11.62,Harapan Lama Sekolah
JAWA TIMUR,2011,6.79,Rata-rata Lama Sekolah
JAWA TIMUR,2012,11.74,Harapan Lama Sekolah
JAWA TIMUR,2012,6.85,Rata-rata Lama Sekolah
JAWA TIMUR,2013,12.17,Harapan Lama Sekolah
JAWA TIMUR,2013,6.9,Rata-rata Lama Sekolah
JAWA TIMUR,2014,12.45,Harapan Lama Sekolah
JAWA TIMUR,2014,7.05,Rata-rata Lama Sekolah
JAWA TIMUR,2015,12.66,Harapan Lama Sekolah
JAWA TIMUR,2015,7.14,Rata-rata Lama Sekolah
JAWA TIMUR,2016,12.98,Harapan Lama Sekolah
JAWA TIMUR,2016,7.23,Rata-rata Lama Sekolah
JAWA TIMUR,2017,13.09,Harapan Lama Sekolah
JAWA TIMUR,2017,7.34,Rata-rata Lama Sekolah
JAWA TIMUR,2018,13.1,Harapan Lama Sekolah
JAWA TIMUR,2018,7.39,Rata-rata Lama Sekolah
JAWA TIMUR,2019,13.16,Harapan Lama Sekolah
JAWA TIMUR,2019,7.59,Rata-rata Lama Sekolah
JAWA TIMUR,2020,13.19,Harapan Lama Sekolah
JAWA TIMUR,2020,7.78,Rata-rata Lama Sekolah
JAWA TIMUR,2021,13.36,Harapan Lama Sekolah
JAWA TIMUR,2021,7.88,Rata-rata Lama Sekolah
JAWA TIMUR,2022,13.37,Harapan Lama Sekolah
JAWA TIMUR,2022,8.03,Rata-rata Lama Sekolah
JAWA TIMUR,2023,13.38,Harapan Lama Sekolah
JAWA TIMUR,2023,8.11,Rata-rata Lama Sekolah
JAWA TIMUR,2024,13.43,Harapan Lama Sekolah
JAWA TIMUR,2024,8.28,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2010,10.79,Harapan Lama Sekolah
KALIMANTAN BARAT,2010,6.27,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2011,10.8,Harapan Lama Sekolah
KALIMANTAN BARAT,2011,6.32,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2012,11.11,Harapan Lama Sekolah
KALIMANTAN BARAT,2012,6.62,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2013,11.6,Harapan Lama Sekolah
KALIMANTAN BARAT,2013,6.69,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2014,11.89,Harapan Lama Sekolah
KALIMANTAN BARAT,2014,6.83,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2015,12.25,Harapan Lama Sekolah
KALIMANTAN BARAT,2015,6.93,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2016,12.37,Harapan Lama Sekolah
KALIMANTAN BARAT,2016,6.98,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2017,12.5,Harapan Lama Sekolah
KALIMANTAN BARAT,2017,7.05,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2018,12.55,Harapan Lama Sekolah
KALIMANTAN BARAT,2018,7.12,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2019,12.58,Harapan Lama Sekolah
KALIMANTAN BARAT,2019,7.31,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2020,12.6,Harapan Lama Sekolah
KALIMANTAN BARAT,2020,7.37,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2021,12.65,Harapan Lama Sekolah
KALIMANTAN BARAT,2021,7.45,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2022,12.66,Harapan Lama Sekolah
KALIMANTAN BARAT,2022,7.59,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2023,12.67,Harapan Lama Sekolah
KALIMANTAN BARAT,2023,7.71,Rata-rata Lama Sekolah
KALIMANTAN BARAT,2024,12.68,Harapan Lama Sekolah
KALIMANTAN BARAT,2024,7.78,Rata-rata Lama Sekolah
KALIMANTAN SELATAN,2010,10.86,Harapan Lama Sekolah
KALIMANTAN SELATAN,2010,7.25,Rata-rata Lama Sekolah
KALIMANTAN SELATAN,2011,11.14,Harapan Lama Sekolah
KALIMANTAN SELATAN,2011,7.37,Rata-rata Lama Sekolah
KALIMANTAN SELATAN,2012,11.54,Harapan Lama Sekolah
KALIMANTAN SELATAN,2012,7.48,Rata-rata Lama Sekolah
KALIMANTAN SELATAN,2013,11.67,Harapan Lama Sekolah
